,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
146,0.452,0.0639,0.0,0.0,1,0.0471,0.944,2.91e-05,0.137,0.0767,0.5892803079451582,235507,New Year's Day - Karaoke Version,0.39749328558639213,x
145,0.594,0.454,0.8181818181818182,0.24358039101254744,1,0.0401,0.0943,0.705,0.755,0.139,0.8382062482879922,202173,Call It What You Want - Karaoke Version,0.39749328558639213,x
142,0.426,0.529,0.7272727272727273,0.6124890574846805,1,0.17,0.0844,0.0986,0.101,0.217,0.5207819730980494,211493,Dancing With Our Hands Tied - Karaoke Version,0.39749328558639213,x
143,0.682,0.457,0.0,0.3838634374088124,1,0.0387,0.0348,0.0205,0.217,0.0383,0.6796238628663697,230387,Dress - Karaoke Version,0.39749328558639213,x
144,0.594,0.757,0.45454545454545453,0.7998978698570178,1,0.0572,0.00927,0.000236,0.401,0.214,0.8379179101249947,205693,This Is Why We Can't Have Nice Things - Karaoke Version,0.39749328558639213,x
141,0.64,0.622,0.0,0.4904435366209513,1,0.0324,0.00256,0.00328,0.038,0.145,0.6435779882646369,214333,King Of My Heart - Karaoke Version,0.39749328558639213,x
115,0.552,0.702,0.8181818181818182,0.7763349868689816,1,0.157,0.117,2.06e-05,0.105,0.564,0.8597090667935355,178427,Cruel Summer,0.2784243509400179,Lover
116,0.359,0.543,0.6363636363636364,0.6395535453749635,1,0.0919,0.492,1.58e-05,0.118,0.453,0.49402419157187555,221307,Lover,0.2784243509400179,Lover
118,0.292,0.574,0.0,0.5087540122556171,1,0.0401,0.12,0.00569,0.0663,0.166,0.6951761025330507,211240,The Archer,0.2784243509400179,Lover
119,0.897,0.366,0.0,0.6069448497227896,1,0.0569,0.00889,0.000353,0.0715,0.416,0.6074456122140046,173387,I Think He Knows,0.2784243509400179,Lover
120,0.662,0.747,1.0,0.6874088123723373,0,0.0736,0.028,0.00615,0.138,0.487,0.7879633233856668,234147,Miss Americana & The Heartbreak Prince,0.2784243509400179,Lover
121,0.811,0.719,0.8181818181818182,0.7146192004668805,1,0.0497,0.0129,1.36e-05,0.0742,0.865,0.6217760189149835,222400,Paper Rings,0.2784243509400179,Lover
122,0.824,0.624,0.0,0.48300262620367673,1,0.0827,0.781,0.000189,0.1,0.248,0.6146865043322809,287267,Cornelia Street,0.2784243509400179,Lover
114,0.664,0.316,0.45454545454545453,0.4379924131893784,1,0.519,0.298,2.03e-06,0.0812,0.541,0.5817546818909216,170640,I Forgot That You Existed,0.2784243509400179,Lover
124,0.695,0.71,0.09090909090909091,0.7083454916836884,1,0.05,0.0246,0.000104,0.133,0.557,0.8162096506783155,190240,London Boy,0.2784243509400179,Lover
123,0.712,0.732,0.36363636363636365,0.699956229938722,1,0.0629,0.454,0.0,0.319,0.313,0.5860653374277354,198533,Death By A Thousand Cuts,0.2784243509400179,Lover
131,0.557,0.496,0.0,0.49219433907207466,1,0.0563,0.808,0.000173,0.0772,0.265,0.7875848795467324,293453,Daylight,0.2784243509400179,Lover
130,0.737,0.175,0.9090909090909091,0.46957980741173033,1,0.0401,0.971,0.000337,0.171,0.545,0.4993368222251056,150440,It’s Nice To Have A Friend,0.2784243509400179,Lover
129,0.61,0.83,0.0,0.8932010504814707,1,0.0571,0.033,0.0,0.118,0.728,0.903565301385465,193000,ME! (feat. Brendon Urie of Panic! At The Disco),0.2784243509400179,Lover
117,0.777,0.658,0.0,0.8139772395681355,1,0.054,0.0767,0.0,0.0901,0.633,0.6436500728053861,190360,The Man,0.2784243509400179,Lover
127,0.771,0.671,0.18181818181818182,0.7829004960606945,1,0.0553,0.00929,0.0,0.0637,0.714,0.5534651038738232,171360,You Need To Calm Down,0.2784243509400179,Lover
126,0.739,0.32,1.0,0.40027721038809455,0,0.239,0.736,0.000147,0.111,0.351,0.5352421319723772,200307,False God,0.2784243509400179,Lover
125,0.433,0.182,0.0,0.27597023635833084,1,0.0641,0.907,0.0,0.123,0.421,0.9948027046119688,201587,Soon You’ll Get Better (feat. The Chicks),0.2784243509400179,Lover
128,0.756,0.449,0.8181818181818182,0.554639626495477,1,0.0344,0.13,0.0,0.114,0.399,0.6471209434424694,223293,Afterglow,0.2784243509400179,Lover
97,0.78,0.361,0.0,0.6862416107382551,1,0.048,0.75,7.14e-06,0.108,0.163,0.7512506667820018,210240,the 1,0.19762757385854968,Folklore
98,0.612,0.58,0.0,0.567332944266122,0,0.0419,0.525,0.000414,0.26,0.534,0.7157238008736647,239560,cardigan,0.19762757385854968,Folklore
99,0.688,0.653,0.6363636363636364,0.568354245695944,1,0.0403,0.481,0.00414,0.106,0.701,0.7804052592880932,231000,the last great american dynasty,0.19762757385854968,Folklore
100,0.31,0.374,0.5454545454545454,0.5752115552961774,1,0.0275,0.761,2.46e-05,0.11,0.16,0.5207098885573,285640,exile (feat. Bon Iver),0.19762757385854968,Folklore
101,0.456,0.265,0.0,0.414794280711993,1,0.0328,0.814,0.0,0.0679,0.112,0.7153705866239926,255893,my tears ricochet,0.19762757385854968,Folklore
102,0.549,0.417,0.6363636363636364,0.45849139188794863,1,0.035,0.686,1.9e-06,0.0604,0.347,0.643970849011721,208973,mirrorball,0.19762757385854968,Folklore
103,0.602,0.494,0.36363636363636365,0.40385176539247153,1,0.0277,0.888,2.59e-05,0.0902,0.374,0.5892514741288584,208907,seven,0.19762757385854968,Folklore
104,0.387,0.634,0.45454545454545453,0.5199153778815291,1,0.0363,0.553,6.93e-05,0.0931,0.42,0.5698318988509724,261920,august,0.19762757385854968,Folklore
106,0.529,0.304,0.9090909090909091,0.42179749051648674,1,0.0356,0.862,0.0,0.108,0.44,0.6780055649265458,190893,illicit affairs,0.19762757385854968,Folklore
107,0.651,0.459,0.36363636363636365,0.3808724832214765,0,0.0507,0.859,6.63e-05,0.105,0.454,0.5478028631979586,252880,invisible string,0.19762757385854968,Folklore
108,0.593,0.7,0.2727272727272727,0.5349430989203385,1,0.0492,0.67,6.77e-06,0.116,0.451,0.7584447039487912,237267,mad woman,0.19762757385854968,Folklore
110,0.595,0.376,0.0,0.5531076743507441,1,0.0256,0.589,0.0,0.0989,0.476,0.5928232631229907,294520,betty,0.19762757385854968,Folklore
111,0.644,0.284,0.45454545454545453,0.25313685439159617,1,0.0821,0.916,1.5e-05,0.0909,0.328,0.7879056557530671,234000,peace,0.19762757385854968,Folklore
112,0.676,0.178,0.7272727272727273,0.09768018675226148,1,0.0394,0.964,7.9e-06,0.135,0.404,0.6753384369188185,220040,hoax,0.19762757385854968,Folklore
113,0.313,0.258,0.18181818181818182,0.35140064196089876,1,0.0383,0.842,1.3e-06,0.0948,0.268,0.8955819384974698,211813,the lakes - bonus track,0.19762757385854968,Folklore
105,0.511,0.478,0.8181818181818182,0.47505106507149114,1,0.0322,0.312,2.3e-05,0.147,0.408,0.7367616740913744,195107,this is me trying,0.19762757385854968,Folklore
109,0.317,0.254,0.09090909090909091,0.19477677268748175,1,0.0286,0.727,0.000326,0.0867,0.103,0.5855679540965645,289747,epiphany,0.19762757385854968,Folklore
96,0.64,0.618,0.6363636363636364,0.3380507732710826,1,0.0379,0.743,0.004,0.0574,0.614,0.780250277525482,232347,the last great american dynasty - the long pond studio sessions,0.17547000895255147,xx
95,0.395,0.234,0.0,0.4847534286548001,0,0.0382,0.88,0.0,0.107,0.247,0.558698441532229,230680,cardigan - the long pond studio sessions,0.17547000895255147,xx
93,0.313,0.258,0.18181818181818182,0.35140064196089876,1,0.0383,0.842,1.3e-06,0.0948,0.268,0.8955819384974698,211813,the lakes - bonus track,0.17547000895255147,xx
94,0.708,0.25,0.0,0.4098336737671433,1,0.0361,0.898,0.026,0.102,0.156,0.7508938483052924,219893,the 1 - the long pond studio sessions,0.17547000895255147,xx
