,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
174,0.823,0.467,0.0,0.7170332516142398,0,0.301,0.543,1.06e-06,0.135,0.618,0.5998590921185275,310933,No Tellin',0.6069023569023569,h
175,0.905,0.492,0.18181818181818182,0.7790476848175132,1,0.0595,0.0149,3.77e-05,0.371,0.142,0.6560386147556034,177840,Madonna,0.6069023569023569,h
178,0.605,0.51,1.0,0.7964503988121958,0,0.423,0.165,8.8e-05,0.104,0.389,0.4882907799026386,236973,Preach,0.6069023569023569,h
173,0.72,0.412,1.0,0.7759745865128966,0,0.223,0.196,0.0,0.342,0.179,0.6724941069775634,275840,Know Yourself,0.6069023569023569,h
177,0.521,0.392,0.2727272727272727,0.8038396464210491,1,0.17,0.747,8.81e-06,0.198,0.166,0.5882904051476346,294973,Star67,0.6069023569023569,h
186,0.554,0.85,0.45454545454545453,0.9324608956873036,1,0.251,0.107,0.0,0.155,0.383,0.7250385060766523,283307,6PM In New York,0.6069023569023569,h
185,0.697,0.235,0.6363636363636364,0.7772176375125169,1,0.0534,0.62,0.000144,0.107,0.378,0.6183007858612432,320400,Jungle,0.6069023569023569,h
184,0.545,0.476,0.6363636363636364,0.8188943751942268,0,0.284,0.168,0.0,0.13,0.223,0.8222237212422379,264907,You & The 6,0.6069023569023569,h
179,0.312,0.466,0.8181818181818182,0.7940678843962571,0,0.0509,0.729,7.34e-06,0.215,0.195,0.7513125794012164,212280,Wednesday Night Interlude,0.6069023569023569,h
182,0.555,0.481,0.5454545454545454,0.8197576050550741,1,0.0322,0.124,0.0,0.101,0.098,0.6477040634685075,281320,Now & Forever,0.6069023569023569,h
181,0.568,0.535,0.36363636363636365,0.7546010151583163,1,0.513,0.217,0.0,0.114,0.326,0.5569983623206328,167653,6 Man,0.6069023569023569,h
180,0.926,0.427,0.9090909090909091,0.8140602879734816,0,0.105,0.0703,0.000337,0.0818,0.304,0.6036028946076503,268480,Used To,0.6069023569023569,h
183,0.651,0.55,0.6363636363636364,0.7922723662856946,1,0.0496,0.0403,0.0,0.165,0.119,0.6468571171596569,252640,Company,0.6069023569023569,h
159,0.881,0.566,0.18181818181818182,0.8148199302510273,1,0.136,0.00378,6.83e-06,0.204,0.232,0.7685513095813611,231231,Digital Dash,0.5595538720538721,g
160,0.807,0.666,0.7272727272727273,0.8622630434031975,0,0.263,0.00295,0.0,0.227,0.274,0.7383985219662645,217707,Big Rings,0.5595538720538721,g
162,0.504,0.356,0.09090909090909091,0.7016332308967232,1,0.0445,0.12,6.03e-05,0.107,0.169,0.7535161388242436,314632,Diamonds Dancing,0.5595538720538721,g
164,0.844,0.47,0.09090909090909091,0.8670971306239427,1,0.3,0.0079,2.82e-06,0.141,0.395,0.8842381792902889,202085,Plastic Bag,0.5595538720538721,g
161,0.828,0.482,0.6363636363636364,0.7835019508994856,1,0.431,0.0429,7.8e-06,0.0807,0.281,0.8656353408958892,211643,Live From The Gutter,0.5595538720538721,g
166,0.813,0.328,0.0,0.7282552398052554,1,0.391,0.0201,4.96e-06,0.119,0.191,0.7609025599514317,220862,Change Locations,0.5595538720538721,g
167,0.859,0.56,0.09090909090909091,0.8256275681088361,1,0.201,0.0529,0.0,0.114,0.625,0.776046409659685,205879,Jumpman,0.5595538720538721,g
168,0.766,0.531,0.0,0.6995960084251236,0,0.272,0.528,0.000665,0.11,0.29,0.7912202397682515,188703,Jersey,0.5595538720538721,g
169,0.622,0.599,0.36363636363636365,0.7580194054072719,0,0.458,0.686,0.0,0.145,0.275,0.5916407148826455,253935,30 for 30 Freestyle,0.5595538720538721,g
165,0.829,0.554,0.0,0.7574669382963295,1,0.305,0.000285,0.00225,0.12,0.203,0.8434498446640509,180000,I'm The Plug,0.5595538720538721,g
163,0.556,0.406,0.0,0.7510445081316253,0,0.381,0.0828,4.29e-06,0.1,0.256,0.6523585206171465,209288,Scholarships,0.5595538720538721,g
147,0.536,0.449,0.09090909090909091,0.7134076861986811,1,0.103,0.11,1.49e-05,0.284,0.171,0.6180834279589719,290133,Faithful,0.5124158249158249,Views
139,0.378,0.566,0.8181818181818182,0.8105728393356584,0,0.0482,0.149,0.0,0.382,0.196,0.572370812581275,328907,Keep The Family Close,0.5124158249158249,Views
140,0.68,0.712,0.9090909090909091,0.8278719657470391,1,0.0453,0.000803,0.000612,0.237,0.0379,0.6185331339636713,255787,9,0.5124158249158249,Views
141,0.429,0.43,0.18181818181818182,0.6832291702634578,1,0.165,0.338,1.18e-05,0.138,0.125,0.8995019505997953,297373,U With Me?,0.5124158249158249,Views
142,0.582,0.677,0.6363636363636364,0.8314284727737302,1,0.172,0.0312,6.6e-06,0.122,0.205,0.9700870555874098,240653,Feel No Ways,0.5124158249158249,Views
143,0.787,0.635,0.36363636363636365,0.7903387313973965,0,0.155,0.0253,0.0,0.357,0.237,0.7309933630888806,209413,Hype,0.5124158249158249,Views
144,0.623,0.74,0.09090909090909091,0.8362280308000415,1,0.307,0.0635,0.0,0.366,0.35,0.5543301066927496,253533,Weston Road Flows,0.5124158249158249,Views
145,0.694,0.314,0.0,0.8059113980870827,1,0.116,0.611,2.07e-06,0.117,0.341,0.6930943895428363,333947,Redemption,0.5124158249158249,Views
146,0.878,0.406,0.09090909090909091,0.7319843928041159,1,0.248,0.134,0.000234,0.112,0.784,0.7234832728104003,195053,With You,0.5124158249158249,Views
148,0.834,0.433,0.0,0.7442077276337143,1,0.174,0.0258,0.0,0.633,0.229,0.7456837592423952,189853,Still Here,0.5124158249158249,Views
150,0.792,0.625,0.09090909090909091,0.882255446980422,1,0.0536,0.00776,0.0018,0.329,0.37,0.6333659370186739,173987,One Dance,0.5124158249158249,Views
151,0.676,0.432,0.09090909090909091,0.747557059493802,1,0.502,0.00163,3.84e-06,0.0799,0.12,0.7903957787596358,220427,Grammys,0.5124158249158249,Views
152,0.746,0.475,0.9090909090909091,0.6877179655398641,0,0.113,0.0175,1.1e-05,0.197,0.292,0.5435708905303158,241400,Childs Play,0.5124158249158249,Views
153,0.713,0.462,0.6363636363636364,0.729705465971479,1,0.123,0.192,2.16e-06,0.105,0.0594,0.742367177457737,212947,Pop Style,0.5124158249158249,Views
154,0.794,0.653,0.6363636363636364,0.8052553433928387,1,0.104,0.0489,4.88e-05,0.1,0.397,0.6859403165180762,263373,Too Good,0.5124158249158249,Views
155,0.699,0.255,0.36363636363636365,0.7773557542902524,0,0.0303,0.405,0.00242,0.0985,0.242,0.7385371813177135,106333,Summers Over Interlude,0.5124158249158249,Views
156,0.722,0.252,0.09090909090909091,0.5783294775732883,0,0.0761,0.0671,0.0,0.0852,0.275,0.5432598438770654,238120,Fire & Desire,0.5124158249158249,Views
